Date,Day,Time,Content Type,Topic,Caption Angle,Drive Asset Needed,Status
2026-08-16,Sunday,9:00 AM,Thank You,Backpack Drive thank you,"Thank Doll House, vendors, guests, volunteers, and community partners",Aug 15 book bag drive.PNG + same-day photos/videos,Pending asset
2026-08-16,Sunday,6:00 PM,Next Week Teaser,DJ Uncle Mike coming up,"Tease Aug. 22 DJ Uncle Mike and next market day",DJ Uncle Mike photo/flyer,Pending event asset
2026-08-17,Monday,9:00 AM,Weekly Preview,This week at the market,"Build anticipation for DJ Uncle Mike week",Weekly lineup details,Pending details
2026-08-17,Monday,6:00 PM,Vendor Recruitment,Vendor applications open,"Invite vendors to apply for upcoming Saturdays",AA Market IG Post.png or vendor app graphic,Pending asset
2026-08-18,Tuesday,9:00 AM,Vendor Spotlight,Vendor of the week,"Highlight vendor products, story, and booth CTA",Vendor photo/product photo,Pending vendor
2026-08-18,Tuesday,6:00 PM,Engagement,Favorite market finds,"Ask followers what they love shopping for at the market",Product photo or question graphic,Draft caption
2026-08-19,Wednesday,9:00 AM,Community Spotlight,Behind the scenes,"Show setup, team, vendor prep, or partner moments",BTS photo/video,Pending asset
2026-08-19,Wednesday,6:00 PM,Reminder,Saturday market reminder,"Remind followers about Aug. 22 market day",AA Market IG Post.png,Pending asset
2026-08-20,Thursday,9:00 AM,Weekend Preview,DJ Uncle Mike preview,"Promote music, shopping, food, and community for Saturday",DJ Uncle Mike flyer/photo,Pending event asset
2026-08-20,Thursday,6:00 PM,Engagement,Tag who you are bringing,"Push shares and tags before the weekend",Prompt graphic or DJ asset,Draft caption
2026-08-21,Friday,9:00 AM,Countdown,Tomorrow at FDR Park,"Final countdown for DJ Uncle Mike market day",Countdown graphic,Pending asset
2026-08-21,Friday,6:00 PM,Last Chance Reminder,Do not miss Saturday,"Time, location, DJ, vendors, and CTA to save/share",Weekend flyer,Pending asset
2026-08-22,Saturday,9:00 AM,Market Day Promo,DJ Uncle Mike today,"Promote today: DJ Uncle Mike, vendors, food, family, community",DJ Uncle Mike flyer/photo,Pending event asset
2026-08-22,Saturday,6:00 PM,Market Recap,DJ Uncle Mike recap,"Post best moments and encourage guests to tag/share",Same-day photos/videos,Pending market-day content
2026-08-23,Sunday,9:00 AM,Thank You,Thank you Sunday,"Thank vendors, guests, DJ Uncle Mike, and partners",Recap photo/video,Pending asset
2026-08-23,Sunday,6:00 PM,Next Week Teaser,Final August Saturday,"Invite followers back for the next Saturday market",Logo or recap image,Draft caption
2026-08-24,Monday,9:00 AM,Weekly Preview,This week at the market,"Build anticipation for the final August Saturday",Weekly event details,Pending details
2026-08-24,Monday,6:00 PM,Vendor Recruitment,Join future market dates,"Encourage vendors to apply for upcoming market dates",AA Market IG Post.png or vendor application graphic,Pending asset
2026-08-25,Tuesday,9:00 AM,Vendor Spotlight,Vendor of the week,"Feature one vendor and what people should buy/try",Vendor photo/product photo,Pending vendor
2026-08-25,Tuesday,6:00 PM,Engagement,This or That,"Use a simple market engagement prompt around food, shopping, music, or wellness",Prompt graphic,Draft caption
2026-08-26,Wednesday,9:00 AM,Community Spotlight,Guest experience,"Share customer, family, or community moment",Community photo/video,Pending asset
2026-08-26,Wednesday,6:00 PM,Reminder,Saturday market reminder,"Remind followers to save Saturday and bring family/friends",AA Market IG Post.png,Pending asset
2026-08-27,Thursday,9:00 AM,Weekend Preview,Final August weekend preview,"Preview shopping, vendors, food, music, and community",Weekend details,Pending details
2026-08-27,Thursday,6:00 PM,Engagement,Why visit this Saturday,"Ask followers why they are pulling up this weekend",Market photo or prompt graphic,Draft caption
2026-08-28,Friday,9:00 AM,Countdown,Tomorrow is market day,"Urgency post with time, location, free attendance, and CTA",Countdown graphic,Pending asset
2026-08-28,Friday,6:00 PM,Last Chance Reminder,Saturday plans,"Evening reminder to tag friends and share the post",Market flyer/photo,Pending asset
2026-08-29,Saturday,9:00 AM,Market Day Promo,We are open today,"Promote final August Saturday market day",Market-day flyer or photo,Pending asset
2026-08-29,Saturday,6:00 PM,Market Recap,Best moments from today,"Recap vendors, guests, shopping, and community",Same-day photos/videos,Pending market-day content
2026-08-30,Sunday,9:00 AM,Thank You,August thank you,"Thank vendors, visitors, partners, and community for August",Recap photo/video,Pending asset
2026-08-30,Sunday,6:00 PM,Monthly Recap,August highlights,"Share the strongest market moments from August",Photo/video recap,Pending asset
2026-08-31,Monday,9:00 AM,September Teaser,See you next month,"Bridge audience into September market content",Logo or best August photo,Draft caption
2026-08-31,Monday,6:00 PM,Vendor Recruitment,September vendor call,"Invite vendors to apply for September market dates",AA Market IG Post.png or vendor application graphic,Pending asset
